Unnamed: 0,name,time,brand,post,date,Location,posted,Thanked,predicted_class,sentiment_score
170, Nalin1 , 12:49 ,BHPian," Quote: Originally Posted by ComicCharcoal Looks very promising. If the rumours are true, then this car will under-cut the price in its class. Two questions, 1. How are Nissan engines in general ? (Long term usability-wise and reliability wise.) 2. How is the after sale services of Nissan? 1. They will run as long as you want them to run (obvious conditions apply). 2. Service quality? They are as good or as bad as any of the others around (barring Toyota).", 3rd November 2020,Bangalore,896,2617,Climate Control - Heating & Cooling (broken or difficult to use),Very Positive
171, Turrrb0 , 12:55 ,BHPian,"One thing always to look forward to in the Nissan/renault cars, is the comfort and toughness over rough roads.. This is something that has impressed me right from the basic kwid (Very good ride quality over bad roads, and nice comfortable seats). Hope that carries over here with the magnite too.", 3rd November 2020,Chennai,420,658,Interior/Instrument Panel/Material Quality (broken or difficult to use),Very Positive
172, jeganatu , 13:05 ,BHPian," Quote: Originally Posted by JithinR Thanks. But my question was why do the other variants mention just CVT rather than 5CVT? I just had a confirmation with Nissan's PR support and they have acknowledged that "" 5CVT"" should be mentioned for all the variants and the correction is under way. This clears the confusion.", 3rd November 2020,Madurai,304,982,"Brakes, Wheels or Tires",Positive
173, S2K , 13:23 ,BHPian," Quote: Originally Posted by cuboid There were a few concerns about build quality. And our own Team-BHP comment confirmed the panel bending with thumb press. The weight of only 1039kg for the Turbo CVT is a real concern here. This is in hatch-back territory. For reference, Jazz CVT is 1035kg. The biggest worry is the NA petrol weight of only 939kg. That means the basic body is very very light. The additional weight in Turbo CVT is entirely from the Engine/Gearbox combination, that may be masking the spec sheet a bit. This is nowhere in the leagues of Nexon / XUV300 (>1300kg), not even close to Venue / Brezza (~1200kg). Not sure how the structural rigidity is, if that is also compromised in terms of HSS percentage. So this is one of the proverbial ""cut corners"". Would Nissan have an NCAP rating for this? At least the ASEAN one? Attachment 2075798 This is my only gripe with the car. At least the top end with 6 airbags would have made me feel safer. Also not sure, how sure footed the car will feel at high speeds given the low weight and high ground clearance.", 3rd November 2020,Mumbai,60,105,"Engine, Fuel System and Exhaust",Very Negative
174, AbidIqbalShaik , 15:07 ,BHPian," Quote: Originally Posted by cuboid The feature list and distribution is almost perfect. Nissan is nudging people to get to the higher variants if they want their favourite colors. Only silver, black and brown in XL. I think the Brown, Red, Blue would sell well - and Black may be the black horse here. Magnite looks better in darker shades. There were a few concerns about build quality. And our own Team-BHP comment confirmed the panel bending with thumb press. The weight of only 1039kg for the Turbo CVT is a real concern here. This is in hatch-back territory. For reference, Jazz CVT is 1035kg. The biggest worry is the NA petrol weight of only 939kg. That means the basic body is very very light. The additional weight in Turbo CVT is entirely from the Engine/Gearbox combination, that may be masking the spec sheet a bit. This is nowhere in the leagues of Nexon / XUV300 (>1300kg), not even close to Venue / Brezza (~1200kg). Not sure how the structural rigidity is, if that is also compromised in terms of HSS percentage. So this is one of the proverbial ""cut corners"". Would Nissan have an NCAP rating for this? At least the ASEAN one? Attachment 2075798 The top-end petrol automatic variant of the Tata Nexon costs approximately INR 13.5 lakhs on road. And this automatic gearbox is not even a proper automatic box; it is an AMT unit, which is much inferior in terms of feel compared to traditional automatics. As for the Mahindra XUV300, its petrol version doesn't even get an automatic transmission option and its top-end variant still costs 13.3 lakhs. The top-end petrol automatic variant of the Nissan Magnite, on the other hand, is expected to cost around 11 lakhs on-road (as far as media reports suggest). Plus, you get a proper CVT automatic with this car. So, Nissan Magnite is around 2.5 lakhs cheaper and also offers better gearbox. And it's not easy for any car manufacturer to achieve that. It will obviously have to cut corners some place or the other. In terms of Nissan Magnite, the brand might have done so by cutting corners on the thickness of metal. And I think it's only fair. You can't have your cake and eat it too, at least in this segment of cars. If one wants a safer car, they can go with the Mahindra XUV300 or Tata Nexon or likes of them. However, if you want a car that's cheaper by 2.5 lakhs and also offers a better gearbox (along with a similar feature set as costlier cars), get the Nissan Magnite. If Nissan would have used thicker metal for the Magnite (and thereby offer a heavy and stronger vehicle), it would have had to cut down on features, engine, or gearbox to keep the cost low. And then people would have complained that the Magnite doesn't offer as many features as the competition. If Nissan would have used thicker metal for the Magnite and also cramped in all the features, the car would have been costlier (similar or most costlier than Mahindra XUV300 and Tata Nexon). And then most people would have said that they don't prefer to buy a Nissan at that price point over Tata, Mahindra, Hyundai, or Kia. Having a stronger car is always better. But if someone prefers a better gearbox and more features, the Nissan Magnite is the one for them. However, if one can compromise on gearbox and also willing to spend 2.5 lakhs more, they can look at other options in the market. It all depends on what an individual prefers. I think all these cars (XUV300, Nexon, and Magnite) have their own ups and downs.", 3rd November 2020,"Hyderabad,",46,279,Climate Control - Heating & Cooling (broken or difficult to use),Very Positive
175, Deadpool , 15:18 ,BHPian," Quote: Originally Posted by cuboid There were a few concerns about build quality. And our own Team-BHP comment confirmed the panel bending with thumb press. The weight of only 1039kg for the Turbo CVT is a real concern here. This is in hatch-back territory. For reference, Jazz CVT is 1035kg. The biggest worry is the NA petrol weight of only 939kg. That means the basic body is very very light. The additional weight in Turbo CVT is entirely from the Engine/Gearbox combination, that may be masking the spec sheet a bit. This is nowhere in the leagues of Nexon / XUV300 (>1300kg), not even close to Venue / Brezza (~1200kg). Not sure how the structural rigidity is, if that is also compromised in terms of HSS percentage. So this is one of the proverbial ""cut corners"". Would Nissan have an NCAP rating for this? At least the ASEAN one? Attachment 2075798 Aptly pointed out. Closest is Honda WR-V with 1084-1188 kgs. Also, Magnite(1572 mm) will be lowest in height amongst the CSUVs and it will be narrower than Ecosport with 1758 mm width. But, It will have the best turning radius(5 m) which is a boon in city commuting.", 3rd November 2020,Kolkata,123,801,Climate Control - Heating & Cooling (broken or difficult to use),Very Positive
176, ComicCharcoal , 16:05 ,BHPian,Would've loved to have 205mm or 215 mm wide wheels. Especially considering lower weight of the car., 3rd November 2020,Bengaluru,41,63,Transmission,Positive
177, RavSam , 18:24 ,BHPian,Man that website is so beautifully made! I spent a lot of time with the 360° inside and outside interactive view. The color options are limited on the lower trims. A dark British green color would also have looked wonderful on this. The feature distribution is also great across variants. The ONLY problem is no service center in (not Navi) MUMBAI!, 3rd November 2020,Somewhere,679,2783,"Brakes, Wheels or Tires",Very Positive
178, sumeethaldankar , 18:34 ,Senior - BHPian,"A step in the right direction for Nissan, they have made a great car. Now please take the second step and improve dealers/sales/service and watch the Magnite fly off the shelves. The car really looks awesome, I like it better than the Sonet (frankly I keep forgetting the Sonet name). Good luck to Nissan here, lets hope they make it.", 3rd November 2020,Mumbai,3924,3295,"Brakes, Wheels or Tires",Very Positive
179, Arjun Bharadwaj , 18:46 ,BHPian,"Regarding discussions on the vehicle weight, is that not the direction in which the country's leading manufacturer is heading. As a ballpark Swift VXI weighs 855kg and Brezza around 1100kg? What will matter more is the pricing and how safe it is structurally. A spacious car priced reasonably will always sound attractive. Would you not buy this car if its priced on par with something like a Swift(which is not exactly cheap by the way).", 3rd November 2020,Bangalore,156,428,"Brakes, Wheels or Tires",Very Positive
180, jetsetgo08 , 19:36 ,Senior - BHPian," Quote: Originally Posted by cuboid The biggest worry is the NA petrol weight of only 939kg. That means the basic body is very very light. It is the same with the Triber. And unfortunately, Nissan and Renault are stuck between a rock and a hard place w.r.t build quality. They can only woo the customers with features, create another segment by killer pricing and keep themselves afloat. If priced along with other CSUV's they (Renault, Nissan) would be written off even before the car hits the streets. Some corners would have to be cut, and it is up to the consumer to aware on where the comprises are made.", 3rd November 2020,Hyderabad,1033,1499,Climate Control - Heating & Cooling (broken or difficult to use),Very Negative
181, DImPo , 20:45 ,BHPian, Quote: Originally Posted by JithinR Even their brochure seems to have no errors as such I could spot couple of mistakes a) Cruise control is available only in XV Premium but Cruise control indicator is available in XV as well. b) Front Armrest available only in XV Premium and Rear Armrest available on all variants except XV Premium(Mistake or Intended?), 3rd November 2020,Chennai,188,395,Climate Control - Heating & Cooling (broken or difficult to use),Negative
182, jeganatu , 23:52 ,BHPian," Quote: Originally Posted by DImPo I could spot couple of mistakes a) Cruise control is available only in XV Premium but Cruise control indicator is available in XV as well. b) Front Armrest available only in XV Premium and Rear Armrest available on all variants except XV Premium(Mistake or Intended?) A) Could be a possibility of mistake of marking ""s"" under xv for the indicator. Because the odo TFT start from this XV variant all its features has been marked as ""s"". B) Its perfect in the brochure. Below is text copied and pasted from pdf. Front Centre Armrest - Dark Grey with Stitch. - - - S (First 3 variant has ""dash"" and last has ""yes"") Rear Centre Armrest with Mobile Holder - Turbo only S S (First variant alone has ""dash"" and second yes only in Turbo, 3rd and 4th ""yes"" in both turbo and NA)", 3rd November 2020,Madurai,304,982,"Brakes, Wheels or Tires",Very Positive
183, Gurgaon_lyon , 00:40 ,BHPian,"Feature list looks rich, but but Thin sheet, just two airbags. And made for India car (read safety not the top priority) It is Not the car I would want to be caught in accident.", 4th November 2020,Lyon,55,184,Interior/Instrument Panel/Material Quality (broken or difficult to use),Positive
184, Godzilla , 08:09 ,BHPian," Quote: Originally Posted by Gurgaon_lyon Feature list looks rich, but but Thin sheet, just two airbags. And made for India car (read safety not the top priority) It is Not the car I would want to be caught in accident. The safety of the car should be viewed from multiple aspects. How well the car stops Most Indian cars come with ABS & EBD. However, at this price point most manufactures skip on ESP. ESP is rated as one of the most important safety invention after seat belt. BUT in India no one even talks about it. Kia does not offer ESP on Diesel variants of Seltos selling at 20 Lakh and people happily buy. https://www.youtube.com/watch?v=P4NXu7q_VHo Dynamics: How does the car handle moose test. This depends on how the manufacturers tune the suspension and steering. Hyundais are known for the soft suspension and light steering with is a death card under emergency manoeveurs. ESP also improves dynamics at high speeds. https://www.youtube.com/watch?v=NbpWpFj4JY4 Both Braking and Dynamics are critical to avoid an accident. Even when the crash becomes unavoidable good braking and handling will reduce the impact and can be life saving. Now, crash testing comes next where the car is designed properly to give good crash protection. The weight of the car or the thickness of metal used DOES NOT MATTER . The crashability of a car and the protection it offers depends on how well they have designed it. Even if you have the heaviest of metal sheets such as an ambassador if it is designed poorly the occupants will suffer maximum damage. See how a light car such as smarttwo offers protection https://www.youtube.com/watch?v=TJzZ7-Od6KY Magnite offers good safety features such as ESP(VDC), traction control and hill assist in many of their variants which is a welcome move considering Most of the cars in the market (sub-10 Lakhs) dont come with ESP. ", 4th November 2020,Chennai,260,1901,Climate Control - Heating & Cooling (broken or difficult to use),Negative
185, starke , 08:58 ,BHPian," Quote: Originally Posted by Gurgaon_lyon Feature list looks rich, but but Thin sheet, just two airbags. And made for India car (read safety not the top priority) It is Not the car I would want to be caught in accident. I agree with the airbag deletion, they could've added at least side airbags as an optional with the tech-pack But the thickness of sheet metal doesn't impact the crashworthiness of the vehicle directly. The crumple zone depends not on the thickness but on the structure (honeycomb etc.). Nissan India offered well built International models here in India and failed to sell due to the impact of MSIL's & HMI's Made for India vehicles. I really appreciate Nissan India for this daring effort, considering their downfall in the global market as well as India market. Nissan NEXT strategy might be their comeback ", 4th November 2020,TOKYO,250,946,Climate Control - Heating & Cooling (broken or difficult to use),Very Positive
186, RavSam , 09:46 ,BHPian,A lot has been discussed to death about sheet metal not amount to actual safety or lack of it. But a thicker sheet metal definitely prevents the minor dents and dings which are so easy to occur during daily use and cause pain to the owner's heart (if he bothers that is) every day and not just during a fender bender. A lot of new cars these days look new out of the showroom but within a few months end up looking like moon's surface even if not to that extreme extent. Let's just hope that even though Magnite has less weight it doesn't pick up those dents and dings easily by the use of some way of innovative materials., 4th November 2020,Somewhere,679,2783,"Brakes, Wheels or Tires",Very Positive
187, Godzilla , 10:44 ,BHPian,"Related to Safety of sub-10 Lakh cars in India. Below are the best. 1. Tata Nexon 2. Ford Freestyle 3. Skoda Rapid 4. Nissan Magnite Ford Freestyle is the only car as far as I know that offers 6 Airbags in sub-10 Lakh price point. If you want 6 airbags + ESP in compact crossovers segment, Venue, Sonet and Ecosport offers them at a price of 11-13 Lakhs Ex-showroom. Another important thing is Nissan Magnite offers ESP + Hill Assist + Traction in 3 variants unlike most others who offer only on Top variants. I am appalled when people comment and question the safety without proper research and then talk about sheet metal thickness BS. I do hate the super thin sheet metal on Baleno due to aesthetic reasons, but I really hope Magnite is not as thin as Maruthi's. Let's see. * I might have made mistakes while compiling this table, please feel free to correct the attached excel if needed.", 4th November 2020,Chennai,260,1901,Climate Control - Heating & Cooling (broken or difficult to use),Very Positive
188, turbo , 10:50 ,BANNED," Quote: Originally Posted by Godzilla Related to Safety of sub-10 Lakh cars in India. Below are the best. 1. Tata Nexon 2. Ford Freestyle 3. Skoda Rapid 4. Nissan Magnite * I might have made mistakes while compiling this table, please feel free to correct the attached excel if needed. XUV 300? 5 star NCAP (India's safest car) Brezza (4 star NCAP) VW polo (4 star NCAP) Tata Altroz?", 4th November 2020,North,477,2037,Drivetrain,Very Positive
189, Godzilla , 11:08 ,BHPian," Quote: Originally Posted by turbo XUV 300? 5 star NCAP (India's safest car) Brezza (4 star NCAP) VW polo (4 star NCAP) Tata Altroz? XUV 300 has all the safety features, I have included it in the table it is above 10 L. Altroz, Polo and Brezza do not have ESP or 6 Airbags. I do agree they have good crash rating. However, crash rating is only one side of the story, what about crash avoidance systems such as ESP? Crash rating are usually done on top variants what about the lower variants? https://www.thrillist.com/cars/natio...ults-are-wrong https://www.autonews.com/commentary/...total-overhaul", 4th November 2020,Chennai,260,1901,Features/Controls/Displays (broken or difficult to use),Very Negative
190, 2cents , 11:21 ,BHPian," Quote: Originally Posted by Godzilla Related to Safety of sub-10 Lakh cars in India. I don't think Jazz and Rapid - Rider plus have the stated features. Dzire AMT does have ESP, TCS and Hill hold. The new i20 is likely to have all the safety features you've mentioned, although price could be above the million mark.", 4th November 2020,India,528,596,"Brakes, Wheels or Tires",Very Positive
191, ATRONIX , 12:22 ,BHPian,"Yes it's equally important to have a good suspension setup along with the electronic aids. Tata made it standard with the Nexon and now Nissan has done it with the Magnite(Turbo variants). If the Magnite does well in the market, we may see a 4-airbags/6- airbags variants as well. Regarding the front armrest being available only in the top-end XV premium, is it the only variant which gets rear ac vents as well?", 4th November 2020,Mumbai,181,704,Climate Control - Heating & Cooling (broken or difficult to use),Very Positive
192, Nalin1 , 13:07 ,BHPian,"I would not want to be caught in an accident even if the car weighs 10,000 kgs and has 20 airbags . DRIVER prevents accidents. Driver assistance programs assist in the same as Godzilla has explained in his posts. NOTE: That is just my way of looking at a safety of a car. Not interested in getting into arguments with anyone .", 4th November 2020,Bangalore,896,2617,Electric Motor/Battery,Very Negative
193, AbidIqbalShaik , 13:11 ,BHPian," Quote: Originally Posted by Godzilla The safety of the car should be viewed from multiple aspects. How well the car stops Most Indian cars come with ABS & EBD. However, at this price point most manufactures skip on ESP. ESP is rated as one of the most important safety invention after seat belt. BUT in India no one even talks about it. Kia does not offer ESP on Diesel variants of Seltos selling at 20 Lakh and people happily buy. https://www.Youtube.com/watch?v=P4NXu7q_VHo Dynamics: How does the car handle moose test. This depends on how the manufacturers tune the suspension and steering. Hyundais are known for the soft suspension and light steering with is a death card under emergency manoeveurs. ESP also improves dynamics at high speeds. https://www.Youtube.com/watch?v=NbpWpFj4JY4 Both Braking and Dynamics are critical to avoid an accident. Even when the crash becomes unavoidable good braking and handling will reduce the impact and can be life saving. Now, crash testing comes next where the car is designed properly to give good crash protection. The weight of the car or the thickness of metal used DOES NOT MATTER . The crashability of a car and the protection it offers depends on how well they have designed it. Even if you have the heaviest of metal sheets such as an ambassador if it is designed poorly the occupants will suffer maximum damage. See how a light car such as smarttwo offers protection https://www.Youtube.com/watch?v=TJzZ7-Od6KY Magnite offers good safety features such as ESP(VDC), traction control and hill assist in many of their variants which is a welcome move considering Most of the cars in the market (sub-10 Lakhs) dont come with ESP. I totally agree with your point. ESP, I believe, is the most important safety feature in a car. It is way more important than airbags or thickness of the metal used for the car. I would any day prefer a car with ESP that has less airbags over a car without ESP that has more airbags. Airbag is a passive safety feature in a car accident; it deploys when the car crashes to prevent passengers from hitting their head on a hard surface to avoid injury. ESP, on the other hand, is an active safety feature in a car accident; it intelligently brakes each wheel depending upon the steering input and car's movement to force the car to go in the direction that driver desires thus avoiding a crash. ESP saves you in imaginable ways. India is country where there are many inconsistencies on road with regards to traffic. Anyone can come on the road from anywhere. And this is where the ESP comes in. It helps you maneuver your car in the right way, away from the harm. If there is no crash, there is no need for airbags or thick metal. Technologies that avoid crash, in my opinion, are more important than technologies that reduce the impact of a crash on passengers. After all, prevention is better than cure (I know this phrase doesn't exactly match in this situation but you get what I'm trying to say). I am in no way saying that airbags or thickness of metal doesn't matter. Those things do matter. But what I'm saying is ESP, and of course, other vehicle dynamics matter more (at least in majority of cases). Since the Magnite has ESP, I think it will be very safe on the road. In my opinion, it is much safer than every car that is on the road that lacks ESP (In most cases). Take Hyundai Creta and Kia Seltos for example. Only their top-end variants come with ESP. That's a shame, in my opinion. You spend 17 lakhs on top-second variant of these cars and you still don't get ESP. Magnite, on the other hand, offers ESP at 11 lakhs. Of course, even Magnite doesn't offer ESP in its base variant. But the thing is the top-end variant with ESP will just cost you 11 lakhs, which is much cheaper than 17-lakh worth variant of Hyundai Creta or Kia Seltos that lack ESP. Sadly, most people in India don't talk about ESP. I think Indian government should've made ESP a compulsion rather than airbags. But I guess that would've increased the cost of cars. So I think the decision from Indian government is only fair. Moreover, ESP is said to become mandatory in India from 2023. I eagerly waiting for that day. Also, if anyone of you don't know how ESP works (I'm guessing most people know), please watch this video. It is very informative. https://youtu.be/1IT2oMIBMz4 ", 4th November 2020,"Hyderabad,",46,279,Climate Control - Heating & Cooling (broken or difficult to use),Very Negative
194, Deadpool , 14:05 ,BHPian,"Couldn't agree more with Godzila, Nalin1 and AbidIqbalShaik regarding safety features. ABS+EBD and ESP(TC is part of it) - these three are the most important safety features for a car, of course, there are Airbags and stability control, but with these three safety features in your car the chances of an accident reduces. Govt of India is making ESP mandatory in all new cars from 2023 which is very welcome move. This will save thousands of lives every year by avoiding accidents. Personally, I will always prefer ""crash avoidance"" system rather than ""crash support"" system in my car. I will try to avoid crash/accidents always rather than being in such scenario. Of course, 4 or 6 airbags will give you peace of mind but it won't guarantee that you will escape the crash unscratched. Above are my personal opinion only. I am looking forward to experts here for their view in this regard.", 4th November 2020,Kolkata,123,801,Climate Control - Heating & Cooling (broken or difficult to use),Neutral
195, cuboid , 15:02 ,BHPian,"The concern is not so much about Sheet metal thickness. It was about the core unibody structure's strength. The previous news that it was originally conceived as a Datsun car does not also help this concern. Generally lighter cars have not fared well in the overall robustness. The sheet metal is just a touch-and-feel point, but there is lot beyond that which does not meet the eye, but impacts safety. As you pointed out ABS+EBD+ESP helps a lot in that aspect. So does the strength of the body-shell. The ABS+EBD+ESP are crash-avoiding measures, while the Airbags and bodyshell strength are for protecting the passengers in case of a crash. They are not exactly ""either-or"", ideally both should be comprehensive. That's why we have crash tests and ratings, despite cars having most or all of crash-avoiding technologies. In this particular context, generally everybody is appreciating Magnite and the effort Nissan put into this. We all expected Nissan to cut corners to be aggressive on the price, it's a optimization game. Nobody is blaming them for doing that. But that does not mean we go gung-ho and throw all concerns to winds. Quote: Originally Posted by Godzilla I am appalled when people comment and question the safety without proper research and then talk about sheet metal thickness BS. I do hate the super thin sheet metal on Baleno due to aesthetic reasons, but I really hope Magnite is not as thin as Maruthi's. Let's see. ", 4th November 2020,Bangalore,210,217,Climate Control - Heating & Cooling (broken or difficult to use),Very Positive
196, Godzilla , 16:07 ,BHPian," Quote: Originally Posted by cuboid The concern is not so much about Sheet metal thickness. It was about the core unibody structure's strength. The previous news that it was originally conceived as a Datsun car does not also help this concern. Generally lighter cars have not fared well in the overall robustness. The sheet metal is just a touch-and-feel point, but there is lot beyond that which does not meet the eye, but impacts safety. As you pointed out ABS+EBD+ESP helps a lot in that aspect. So does the strength of the body-shell. The ABS+EBD+ESP are crash-avoiding measures, while the Airbags and bodyshell strength are for protecting the passengers in case of a crash. They are not exactly ""either-or"", ideally both should be comprehensive. That's why we have crash tests and ratings, despite cars having most or all of crash-avoiding technologies. In this particular context, generally everybody is appreciating Magnite and the effort Nissan put into this. We all expected Nissan to cut corners to be aggressive on the price, it's a optimization game. Nobody is blaming them for doing that. But that does not mean we go gung-ho and throw all concerns to winds. The Nissan Magnite is based on CMF A+ Platform, whereas the older Datsun cars were based on Nissan V platform (Not the same). I agree with you that crash testing is needed to determine the crash worthiness of the new CMF A+ platform. CMF B platform had secured 5 stars safety rating in Euro NCAP. Renault Kwid based on CMF A received 3 stars in latin NCAP. I hope CMF A+ crash worthiness is between 3-4 stars. I guess we have to wait till the crash testing results are out to be sure. https://www.carandbike.com/news/rena...or-the-2041494 https://www.latinncap.com/en/result/...id-+-4-airbags", 4th November 2020,Chennai,260,1901,Climate Control - Heating & Cooling (broken or difficult to use),Very Positive
197, kamilharis , 16:45 ,BHPian,"This is the best variant distribution I have seen among Indian cars in the recent past. Even the base XE variant looks sufficiently loaded for a car. If I need a car just to roam around the city limits or for small commutes the XE looks perfectly fine. Maybe you can add a basic music system if in case that is a necessity. If this car cannot change the fortunes of Nissan brand in India, no other car can. And regarding the safety of sheet metal or gross weight, this is what most of the Indian customers deserves, DOT. You offer them a 50 star car or 20 ton car, but they will be buying the Kitna Deti Hei one or Sunroof Wali Gaaadi , so that's all.", 4th November 2020,Saudi/Kerala,645,2221,Interior/Instrument Panel/Material Quality (broken or difficult to use),Very Positive
198, volkman10 , 19:01 ,Distinguished - BHPian,"Nissan Magnite XE Base Manual Variant First Photos  Expected Price ₹ 5.8 lakhs, Link", 4th November 2020,--,23102,66612,Interior/Instrument Panel/Material Quality (broken or difficult to use),Neutral
199, TorqueIndia , 19:17 ,BHPian,"Nice ! Things caught my attention : *Adjustable headrests *Split fold rear seat ? If they target premium hatchback pricing with this car and packaging, then I guess it would do more than 4K per month.", 4th November 2020,"Kottayam,DXB",531,2375,Squeaks/Rattles - Water Leaks - Wind/Road Noise,Positive
200, Engine_Roars , 19:51 ,BHPian," Quote: Originally Posted by volkman10 Nissan Magnite XE Base Manual Variant First Photos  Expected Price ₹ 5.8 lakhs, Link These do not look like actual photographs, these are digitally generated ones. Not authentic for sure, I would say.", 4th November 2020,Pune,415,2534,Entertainment/Navigation/Connectivity (broken or difficult to use),Negative
201, turbo , 20:13 ,BANNED," Quote: Originally Posted by Engine_Roars These do not look like actual photographs, these are digitally generated ones. Not authentic for sure, I would say. Thats because they are. They are literal screenshots taken from Nissan India website. Just scroll to the bottom of the screen, click on the 360 degree view, select variant and colour, and you can take the ""pictures"" too. And as for the price guess, thats just, umm, 'guesswork'. Wonder why such clickbait is even posted, but maybe some people actually stand to gain from this, especially those who've not visited the website. EDIT: Here's a ""pic"" of a white base model XE that I just took. Maybe Rushlane should hire me. Oh, and as for price guess, since I'm feeling particularly bold today, I'll go with 5.49 ex-showroom Delhi.", 4th November 2020,North,477,2037,Features/Controls/Displays (broken or difficult to use),Very Positive
202, RaghuVis , 20:14 ,BHPian,One genuine question --which other base version of a car under 10L has a rear wiper?, 4th November 2020,India,730,4800,All-Wheel/4-Wheel Drive,Neutral
203, rajivr1612 , 21:17 ,BHPian, Quote: Originally Posted by RaghuVis One genuine question --which other base version of a car under 10L has a rear wiper? The new Honda Jazz has rear wiper in all variants., 4th November 2020,Chennai,585,701,"Brakes, Wheels or Tires",Neutral
204, starke , 21:21 ,BHPian,"Found these from a pdf which a dealer shared to me today. A lot of best in segment and first in segment details (need to fact check, but i think as an OEM they won't lie )", 4th November 2020,TOKYO,250,946,All-Wheel/4-Wheel Drive,Very Positive
205, Godzilla , 22:01 ,BHPian," Quote: Originally Posted by starke Found these from a pdf which a dealer shared to me today. A lot of best in segment and first in segment details (need to fact check, but i think as an OEM they won't lie ) Wow I know Rakesh Srivastava is a magician and he is spot on when it comes to delivering bang for the buck (maximum value to customers). Look at those slides, perfect for those sales reps to share to potential customers who are considering competitors. Cant wait for the price reveal. Kudos Nissan. Really impressed to see the fight Nissan is bringing to the table.", 4th November 2020,Chennai,260,1901,"Brakes, Wheels or Tires",Very Positive
206, ATRONIX , 22:19 ,BHPian," Quote: Originally Posted by starke Found these from a pdf which a dealer shared to me today. A lot of best in segment and first in segment details (need to fact check, but i think as an OEM they won't lie ) In these slides they have pitted the Magnite XV Premium Turbo (CVT) against the Venue Turbo S (DCT) which is priced at Rs. 9.66 lakhs ex-showroom. I am assuming a similar pricing for the Magnite. If yes, it should be around 11 lakhs on-road mumbai. Similarly, they pitted the Magnite Turbo XL against the Tata Nexon XE variant which is priced at 6.99 lakhs ex-showroom. This should be a clear indication of what the pricing of the magnite might be like.", 4th November 2020,Mumbai,181,704,Climate Control - Heating & Cooling (broken or difficult to use),Very Positive
207, starke , 23:14 ,BHPian," Quote: Originally Posted by ATRONIX In these slides they have pitted the Magnite XV Premium Turbo (CVT) against the Venue Turbo S (DCT) which is priced at Rs. 9.66 lakhs ex-showroom. I am assuming a similar pricing for the Magnite. If yes, it should be around 11 lakhs on-road mumbai. Similarly, they pitted the Magnite Turbo XL against the Tata Nexon XE variant which is priced at 6.99 lakhs ex-showroom. This should be a clear indication of what the pricing of the magnite might be like. I feel like it will be positioned below those rivals and that's why they pitted specifically the market leaders. XE NA might start at 5.5 and turbo around 6.5 with a cvt turbo topping at 7.5 ", 4th November 2020,TOKYO,250,946,Climate Control - Heating & Cooling (broken or difficult to use),Very Positive
208, jeganatu , 23:18 ,BHPian," Quote: Originally Posted by ATRONIX In these slides they have pitted the Magnite XV Premium Turbo (CVT) against the Venue Turbo S (DCT) which is priced at Rs. 9.66 lakhs ex-showroom. I am assuming a similar pricing for the Magnite. If yes, it should be around 11 lakhs on-road mumbai. Similarly, they pitted the Magnite Turbo XL against the Tata Nexon XE variant which is priced at 6.99 lakhs ex-showroom. This should be a clear indication of what the pricing of the magnite might be like. For the additional feature lists they compared in the table, no offence even if they add 50k additional over competition. Still magnite will look commendable. But with current brand image, less dealer point, poor market acceptance, they should price it close to competition. If they hit the market with such a lowest jaw dropping price, am sure, someone who never having an Idea of buying a car, would buy a magnite! ", 4th November 2020,Madurai,304,982,Climate Control - Heating & Cooling (broken or difficult to use),Positive
209, TusharK , 15:07 ,Senior - BHPian,"Nissan Magnite's 1.0L Turbo Petrol engine revealed Nissan has released details of the 1.0-litre turbo-petrol engine that powers the upcoming Magnite crossover. The HRA0 1.0-litre, 3-cylinder, turbocharged petrol engine produces 99 BHP @ 5,000 rpm and 160 Nm @ 2,800-3,600 rpm. It will be offered with either a 5-speed manual gearbox or a continuously variable transmission (CVT). In the CVT version, the peak torque of the engine is restricted to 152 Nm @ 2,200-4,400 rpm. The HRA0 Turbo engine borrows ""mirror bore cylinder coating"" technology from the Nissan GT-R sports car. It is claimed to reduce resistance inside the engine, reduce weight and improve heat management and combustion. According to Nissan, the HRA0 Turbo engine features 6 technical improvements that are said to improve fuel economy and lower its CO2 emissions (118.5 g/km). The engine is also claimed to have lower NVH levels and provides 50% better acceleration compared to naturally aspirated engines. The Magnite will also be offered with a 1.0-litre, 3-cylinder naturally aspirated motor that puts out 71 BHP @ 6,250 rpm and 96 Nm @ 3,500 rpm. It is paired with a 5-speed manual gearbox. Link to Team-BHP News", 6th November 2020,Pune,6091,54288,Climate Control - Heating & Cooling (broken or difficult to use),Positive
210, NT56 , 16:00 ,BHPian," Quote: Originally Posted by TusharK Nissan Magnite's 1.0L Turbo Petrol engine revealed The HRA0 1.0-litre, 3-cylinder, turbocharged petrol engine produces 99 BHP @ 5,000 rpm and 160 Nm @ 2,800-3,600 rpm. It will be offered with either a 5-speed manual gearbox or a continuously variable transmission (CVT). In the CVT version, the peak torque of the engine is restricted to 152 Nm @ 2,200-4,400 rpm. Link to Team-BHP News From the specs it seems the manual may have a lot of turbo lag and a very narrow peak torque band. This one seems to be tuned for more efficiency than power. The CVT might be able to mask the turbo lag better for city driving. It will be interesting to see how this one drives", 6th November 2020,T1,82,230,Entertainment/Navigation/Connectivity (broken or difficult to use),Positive
