Unnamed: 0,name,time,brand,post,date,car name,location,posted,thanked,predicted_class,sentiment_score
10, SubhoMoto , 10:57 ,Newbie,"Thanks for a detailed review. Seltos has always been a good looking car and the update adds on to it. Kia has so many variants and options on offer for the Seltos that I had to read the review couple of times to understand. This will really sell well and I am expecting a high waiting period on this. Kia has got a winner. I hope that it can score good in the Crash tests, That was the only drawback in the previous car.", 23rd July 2023,kia-seltos,NaviMumbai,24,110,"Brakes, Wheels or Tires",Very Positive
11, SPB_drives , 11:04 ,BHPian,"As always, thank you for making me know the car in such exquisite detail without even getting up from my desk. One quick question, once you start the vehicle and put the DCT gear lever from P to D, do you have to manually release the electronic parking brake or does it disengage automatically?", 23rd July 2023,kia-seltos,Indore/Mum/Del,70,261,Drivetrain,Positive
12, rg_sv , 11:20 ,Newbie,Such a nice and detailed review. Safety is the only factor where I am still little confused otherwise it's indeed an all-rounder which ticks rest all the boxes!, 23rd July 2023,kia-seltos,NCR,16,42,Drivetrain,Very Positive
13, TechnoBloop , 11:33 ,BHPian,"No wonder why their cars are selling like hot cakes. These guys are probably the only ones who have understood the Indian car market so well. I mean, I cannot think of a reason why a person who is looking for a family car would NOT buy the Seltos. It's got the looks, the features, the comfort, the quality, good driving dynamics, everything!! (Not commenting on safety right now, waiting for the car to be crash-tested). I wonder what's stopping them from making safe, 5 star rated cars (based on their previous safety records). If they nail the safety aspect of the Seltos as well, I think that this car would be the perfect FAMILY car south of 20-22 lakhs!! Also, damn, that interior looks cool and modern!!", 23rd July 2023,kia-seltos,Trivandrum,157,633,Climate Control - Heating & Cooling (broken or difficult to use),Very Positive
14, nstark13 , 11:40 ,Newbie,"Thanks for the detailed review. I was waiting for this, to proceed further with my booking or wait a few months before going forward. This review definitely contributed towards it. In my opinion the brown interiors of the HTX+ look much better when compared to bland looking sage green or black interiors in X and GT line respectively.", 23rd July 2023,kia-seltos,New,14,210,"Engine, Fuel System and Exhaust",Very Positive
15, Dead_Pedal , 11:47 ,BHPian,"Checked out the new Seltos today. The design of the driver footwell area is still uncomfortable for me. I moved the seat forward and my left shin kept hitting the rock hard lower dash plastic and the only way to prevent it is to lower the seat height basically rendering that particular driving position unusable. While the power windows, door lock/unlock and window lock switches are now backlit(what's supposed to be standard is now a feature worthy of making it to the brochure weird), the mirror control switches have been left out and I wonder how are these decisions made. Also, the sunroof controls are now backlit which weren't earlier. The driver's seat I noticed didn't go down low enough for me. Feels high even at the lowest height setting.", 23rd July 2023,kia-seltos,Pothole,167,356,"Engine, Fuel System and Exhaust",Very Negative
16, Randamoozham , 12:06 ,BHPian,Thanks for the wonderful review. Quick Question - are the tail gates powered or Manual?, 23rd July 2023,kia-seltos,Bangalore,41,93,Drivetrain,Very Positive
17, bijims , 12:09 ,BHPian," Quote: Originally Posted by Randamoozham Thanks for the wonderful review. Quick Question - are the tail gates powered or Manual? The tailgate is still manual. The Indian Seltos mainly misses out on the powered tailgate and rotary dial gear shifter of the Korean spec Seltos as regards features. Engine and transmission, dimensions, body-shell and platform are anyway different.", 23rd July 2023,kia-seltos,Muscat,712,"2,212",Features/Controls/Displays (broken or difficult to use),Very Positive
18, The VAG32 , 12:44 ,Newbie,Amazing reviewIt's a well rounded package with awesome interiors and good features I need to clarify these: 1. Is the suspension is unusually stiff? Like it used to be in the previous seltos? There will be a constant movement while driving on good roads at a fair pace as my sister has experienced in her 2021 seltos GT 2.Is the vehicle dynamically sorted as the VAG twins? (Like the highspeed stability and cornering grip), 23rd July 2023,kia-seltos,Nagercoil,15,9,All-Wheel/4-Wheel Drive,Very Positive
19, SeniorC , 13:11 ,BHPian,"Great and detailed review, as always. This facelift car ticks all boxes for a compact CSUV (and hopefully for safety too). ADAS features are here to stay, and like any new technology, will take time to adopt. Kia have a winner on their hands.", 23rd July 2023,kia-seltos,New,126,163,"Brakes, Wheels or Tires",Very Positive
20, Himalayan_Ice , 13:38 ,BHPian,"Detailed (as usual) and excellent review. Thank you! Also, well done KIA! Get a non-matte colour for the X-line and you are winning the segment till Hyundai throws the gauntlet at you with the new Creta. (But thats a fair while away). I firmly the new Seltos will decimate competition from European and Japanese counterparts. They could take a leaf out of Kias playbook and learn how to provide a real bang for the customers buck.", 23rd July 2023,kia-seltos,Gurgaon,120,"1,325","Brakes, Wheels or Tires",Very Positive
21, SeniorC , 13:55 ,BHPian," Quote: Originally Posted by SPB_drives One quick question, once you start the vehicle and put the DCT gear lever from P to D, do you have to manually release the electronic parking brake or does it disengage automatically? Once you press the accelerator, after putting in D or R from P, the EPB will release automatically.", 23rd July 2023,kia-seltos,New,126,163,Entertainment/Navigation/Connectivity (broken or difficult to use),Neutral
22, Ad1tya , 14:05 ,BHPian,So what tyres would one recommend for the X-Line/GTX+? 1) Stick to the same size and plonk on the Continental Ultra Contact OR 2) Upsize to 225/55/R18 and get a set of Michelin Primacy 3 ST, 23rd July 2023,kia-seltos,Mumbai,99,98,"Steering, Handling or Ride",Positive
23, shobhit.shri , 14:26 ,BHPian,"Unbelievable that a mass market car packs so much punch for ~20L! I was looking at buying Jeep Compass, and now I am not sure whether I should pay twice the money for it. Compass has great independent suspension and handling, but it seems too expensive now. Especially since the power is also the same. Going to check the Seltos in a next few weeks and decide between the two!", 23rd July 2023,kia-seltos,Bangalore,224,810,All-Wheel/4-Wheel Drive,Positive
24, Col Mehta , 14:42 ,BHPian,"Some of the YT reviews coming out have called out stiff ride quality - especially on 18 inch tyres. Though reported a little better than earlier, it's still not super comfortable. A bummer really. However, what a facelift it is! It will kill the competition. The pseudo VW/Skoda twins or the ordinary Japs look so tame in front in this car. I think it will rule this segment until the 2024 Creta shows up. There are hints of a reinforced structure, which if true, makes this car the best your 20 big ones can get you at the moment. Well done, Kia!! ", 23rd July 2023,kia-seltos,New,478,"1,587",All-Wheel/4-Wheel Drive,Very Negative
